_id,area,baths_count,building_floors,date,district,flat_floor,neighborhood,price,rooms_count,warming_type
60bdcfc5d34df1b74c7945f0,140 m2,6 Katlı,null,2 Gün Önce,Sarıyer,4. Kat,Poligon,2.650.000 TL,4,Kombi
60bdcfc9d34df1b74c7945f1,65 m2,Uygun değil,6 Katlı,4 Gün Önce,Beyoğlu,6. Kat,Kuloğlu,660.000 TL,2,Kombi
60bdcfced34df1b74c7945f2,115 m2,Eşyalı Değil,5 Katlı,7 Gün Önce,Bahçelievler,1. Kat,Siyavuşpaşa,685.000 TL,4,Kombi
60bdcfd8d34df1b74c7945f3,85 m2,1,7 Katlı,6 Gün Önce,Beylikdüzü,4. Kat,Adnan Kahveci,620.000 TL,2,Merkezi (Pay Ölçer)
60bdcfe2d34df1b74c7945f4,140 m2,Uygun,13 Katlı,4 Gün Önce,Kadıköy,13. Kat,Suadiye,3.150.000 TL,4,Merkezi (Pay Ölçer)
60bdcfe7d34df1b74c7945f5,75 m2,Eşyalı Değil,5 Katlı,3 Gün Önce,Üsküdar,Kot 1,Zeynep Kamil,200.000 TL,2,Kombi
60bdcfe9d34df1b74c7945f6,205 m2,Eşyalı Değil,4 Katlı,2 Gün Önce,Eyüpsultan,4. Kat,Esentepe,870.000 TL,6,Kombi
60bdcff1d34df1b74c7945f7,60 m2,Eşyalı Değil,5 Katlı,3 Gün Önce,Kağıthane,Bahçe Katı,Çeliktepe,190.000 TL,2,Kombi
60bdcff4d34df1b74c7945f8,95 m2,Eşyalı Değil,5 Katlı,2 Gün Önce,Gaziosmanpaşa,1. Kat,Bağlarbaşı,415.000 TL,3,Kombi
60bdcff7d34df1b74c7945f9,95 m2,Eşyalı Değil,5 Katlı,4 Gün Önce,Pendik,3. Kat,Kavakpınar,310.000 TL,3,Kombi
60bdcffad34df1b74c7945fa,135 m2,Uygun,12 Katlı,2 Gün Önce,Kadıköy,7. Kat,Caddebostan,3.100.000 TL,4,Kombi
60bdcffdd34df1b74c7945fb,75 m2,Eşyalı Değil,5 Katlı,2 Gün Önce,Bakırköy,Yüksek Giriş,Kartaltepe,1.050.000 TL,3,Kombi
60bdd000d34df1b74c7945fc,120 m2,Uygun,15 Katlı,3 Gün Önce,Kadıköy,9. Kat,Merdivenköy,1.050.000 TL,4,Merkezi (Pay Ölçer)
60bdd005d34df1b74c7945fd,160 m2,Uygun,8 Katlı,4 Gün Önce,Kadıköy,3. Kat,Suadiye,1.550.000 TL,4,Merkezi
60bdd008d34df1b74c7945fe,130 m2,Uygun değil,5 Katlı,5 Gün Önce,Küçükçekmece,3. Kat,Yeşilova,399.000 TL,4,Kombi
60bdd00cd34df1b74c7945ff,105 m2,Eşyalı Değil,17 Katlı,4 Gün Önce,Kağıthane,10. Kat,Seyrantepe,1.800.000 TL,3,Kombi
60bdd00fd34df1b74c794600,235 m2,Uygun,7 Katlı,Dün,Pendik,7. Kat,Batı,3.550.000 TL,7,Merkezi
60bdd013d34df1b74c794601,140 m2,Uygun,4 Katlı,2 Gün Önce,Beylikdüzü,2. Kat,Cumhuriyet,319.000 TL,4,Kombi
60bdd017d34df1b74c794602,165 m2,Eşyalı Değil,9 Katlı,2 Gün Önce,Kadıköy,2. Kat,Suadiye,2.950.000 TL,4,Merkezi
60bdd01bd34df1b74c794603,125 m2,Eşyalı Değil,11 Katlı,7 Gün Önce,Kartal,11. Kat,Uğur Mumcu,310.000 TL,4,Kombi
60bdd01dd34df1b74c794604,75 m2,6 Katlı,null,4 Gün Önce,Üsküdar,Bahçe Katı,Salacak,1.575.000 TL,2,Kombi
60bdd020d34df1b74c794605,192 m2,Eşyalı Değil,10 Katlı,5 Gün Önce,Kadıköy,10. Kat,Kozyatağı,2.850.000 TL,6,Kombi
60bdd025d34df1b74c794606,110 m2,1,4 Katlı,4 Gün Önce,Büyükçekmece,Giriş Katı,19 Mayıs,425.000 TL,4,Kombi
60bdd028d34df1b74c794607,85 m2,Uygun,5 Katlı,2 Gün Önce,Gaziosmanpaşa,3. Kat,Merkez,400.000 TL,3,Kombi
60bdd02dd34df1b74c794608,100 m2,Eşyalı Değil,5 Katlı,3 Gün Önce,Üsküdar,Zemin,Murat Reis,405.000 TL,3,Kombi
60bdd044d34df1b74c794609,135 m2,Eşyalı Değil,6 Katlı,5 Gün Önce,Bağcılar,5. Kat,Yenimahalle,1.120.000 TL,3,Merkezi (Pay Ölçer)
60bdd047d34df1b74c79460a,60 m2,Uygun,11 Katlı,5 Gün Önce,Küçükçekmece,3. Kat,Kemalpaşa,800.000 TL,2,Kombi
60bdd04ad34df1b74c79460b,80 m2,Kombi,null,7 Gün Önce,Beyoğlu,Yüksek Giriş,Kadımehmet Efendi,350.000 TL,3,null
60bdd04dd34df1b74c79460c,75 m2,Eşyalı Değil,7 Katlı,3 Gün Önce,Şişli,Bodrum ve Zemin,Gülbahar,180.000 TL,3,Kombi
